th1,th2,th3,in1,in2,in3,mi1,mi2,mi3,ri1,ri2,ri3,pi1,pi2,pi3,pnx,pny,pnz,thumb_index_tip_dist,thumb_middle_tip_dist,hand_side,th_open,in_open,mi_open,ri_open,pi_open,ti_touch,tm_touch
25.541793823242188,4.450927257537842,14.935617446899414,5.711216926574707,4.363116264343262,5.033367156982422,4.674263954162598,1.8813496828079224,4.031174659729004,0.8712286353111267,3.08290433883667,3.771507978439331,2.6008141040802,7.478268146514893,6.468575477600098,137.63375854492188,107.86304473876953,-468.4255676269531,1.7289484739303589,2.3444159030914307,0.0,1,1,1,1,1,0,0
26.06732749938965,3.6348631381988525,14.698040008544922,5.991732120513916,4.392937660217285,5.021287441253662,5.1487932205200195,1.9527426958084106,4.000579833984375,1.1315897703170776,2.8128397464752197,3.8855319023132324,2.9658172130584717,7.749260425567627,7.070058345794678,133.2694854736328,110.64055633544922,-469.0393371582031,1.7225004434585571,2.3333256244659424,0.0,1,1,1,1,1,0,0
25.897729873657227,3.610114336013794,14.423713684082031,5.575221538543701,4.0061516761779785,5.1113433837890625,4.540351867675781,1.7699692249298096,3.8500680923461914,1.0576379299163818,3.0135254859924316,3.7739577293395996,2.3644473552703857,7.472113609313965,6.964700698852539,133.04541015625,111.99556732177734,-468.78131103515625,1.7412290573120117,2.356166124343872,0.0,1,1,1,1,1,0,0
25.402664184570312,3.53857684135437,13.819723129272461,5.681589603424072,4.165070056915283,5.015375137329102,5.073082447052002,1.7801822423934937,3.929945945739746,0.9041260480880737,2.7217273712158203,3.8490169048309326,2.2526872158050537,7.491308689117432,6.786843776702881,132.69131469726562,113.87972259521484,-468.4276123046875,1.7418184280395508,2.3411028385162354,0.0,1,1,1,1,1,0,0
26.54714012145996,3.267709493637085,14.46338176727295,5.617137908935547,4.004397392272949,4.919067859649658,5.200639247894287,1.678554654121399,3.779144287109375,0.9744970202445984,2.930784225463867,3.7842071056365967,1.80744206905365,7.211048603057861,6.71954345703125,132.71829223632812,113.83049774169922,-468.4319152832031,1.7102147340774536,2.312918186187744,0.0,1,1,1,1,1,0,0
26.006690979003906,2.9527103900909424,14.128149032592773,5.352428913116455,4.328001976013184,5.109457969665527,4.668752193450928,1.9941432476043701,3.735062837600708,0.8424707055091858,3.0471110343933105,3.5978400707244873,2.021069049835205,7.385534286499023,7.031973361968994,132.74253845214844,111.89302062988281,-468.8916320800781,1.7128448486328125,2.321018934249878,0.0,1,1,1,1,1,0,0
25.789043426513672,3.893907308578491,14.459385871887207,5.760251522064209,3.946556568145752,4.947986602783203,4.878876209259033,1.9189703464508057,3.8546342849731445,0.9164901971817017,2.4428250789642334,3.675725221633911,2.3262856006622314,7.311459064483643,6.56814432144165,133.2001190185547,110.96263885498047,-468.98297119140625,1.7383930683135986,2.3498995304107666,0.0,1,1,1,1,1,0,0
25.167896270751953,3.585695505142212,13.802059173583984,5.851800441741943,4.156425952911377,5.148097515106201,5.042125225067139,1.819614291191101,3.7147955894470215,0.9318509101867676,3.3500988483428955,3.7609822750091553,2.1010994911193848,7.358480453491211,6.704001426696777,134.54339599609375,110.93628692626953,-468.6056213378906,1.7344913482666016,2.338348150253296,0.0,1,1,1,1,1,0,0
25.824567794799805,3.8000426292419434,14.277568817138672,5.558743953704834,4.311604976654053,5.23017692565918,4.389987468719482,1.861975908279419,3.994974374771118,0.7476888298988342,2.8136563301086426,3.656923532485962,2.173990488052368,7.36407995223999,6.689138889312744,136.05873107910156,110.28366088867188,-468.3220520019531,1.732422113418579,2.3470444679260254,0.0,1,1,1,1,1,0,0
25.077823638916016,4.397451877593994,13.578782081604004,5.908697605133057,4.2084879875183105,5.209405899047852,4.979308605194092,1.8144246339797974,4.021533012390137,0.7922332882881165,3.416989803314209,3.7885210514068604,2.9902753829956055,7.678946018218994,6.861996650695801,139.85287475585938,110.85211181640625,-467.0685119628906,1.738338828086853,2.343797206878662,0.0,1,1,1,1,1,0,0
