th1,th2,th3,in1,in2,in3,mi1,mi2,mi3,ri1,ri2,ri3,pi1,pi2,pi3,pnx,pny,pnz,hand_side,th_open,in_open,mi_open,ri_open,pi_open,ti_touch,tm_touch
20.99942398071289,4.183599948883057,3.739262819290161,12.420312881469727,10.974206924438477,7.065920352935791,7.563490390777588,13.614627838134766,7.200242042541504,5.907148361206055,11.609101295471191,9.916081428527832,5.681714057922363,6.768538475036621,8.867308616638184,65.0980224609375,109.78235626220703,-483.4356994628906,0.0,1,1,1,1,1,0,0
21.09125518798828,4.102799892425537,3.251438617706299,12.503694534301758,11.367003440856934,6.9961395263671875,7.7083892822265625,13.571298599243164,7.203309535980225,6.005001544952393,11.46337890625,9.914006233215332,5.648325443267822,6.532912731170654,8.726266860961914,63.6944694519043,109.38595581054688,-483.7124328613281,0.0,1,1,1,1,1,0,0
21.080820083618164,4.29295015335083,3.626469373703003,12.343804359436035,11.285375595092773,7.07820987701416,7.455277919769287,13.743103981018066,7.122369289398193,5.815984725952148,11.576130867004395,9.917647361755371,5.520763874053955,6.846113681793213,8.845479965209961,60.03131103515625,109.255615234375,-484.21014404296875,0.0,1,1,1,1,1,0,0
21.08277130126953,4.088279724121094,3.2001214027404785,12.162092208862305,11.292776107788086,6.801789283752441,7.4949774742126465,13.477993965148926,6.7026495933532715,5.768784523010254,11.22364616394043,9.5759916305542,5.362612724304199,6.5982279777526855,8.57940673828125,61.51570510864258,111.18344116210938,-483.5845947265625,0.0,1,1,1,1,1,0,0
21.063962936401367,4.227012634277344,3.8767294883728027,11.997316360473633,10.773344993591309,6.517781734466553,7.207310676574707,13.116016387939453,6.228109836578369,5.484012603759766,10.86992359161377,8.970684051513672,5.121260643005371,6.558315753936768,8.176755905151367,63.91090393066406,113.53423309326172,-482.7270202636719,0.0,1,1,1,1,1,0,0
21.04081153869629,4.046692848205566,3.01526141166687,11.620524406433105,9.906657218933105,5.9836745262146,7.000932693481445,11.904268264770508,5.694357395172119,5.395715713500977,10.004073143005371,8.68778133392334,5.442164897918701,6.204945087432861,8.01990795135498,64.59892272949219,113.04895782470703,-482.74932861328125,0.0,1,1,1,1,1,0,0
21.356340408325195,4.057577133178711,3.0315749645233154,11.419595718383789,10.539507865905762,5.983603477478027,6.7626423835754395,11.60212516784668,5.401906967163086,5.228551864624023,9.433795928955078,8.334898948669434,5.301139831542969,6.04765510559082,7.697477340698242,60.5063362121582,114.44342041015625,-482.9510192871094,0.0,1,1,1,1,1,0,0
21.06339454650879,4.073959827423096,4.499923229217529,11.109580993652344,10.952009201049805,5.968111991882324,6.645761966705322,11.864498138427734,5.252979278564453,4.8599042892456055,8.7802095413208,7.926716327667236,5.252835273742676,5.403606414794922,7.220674991607666,62.197879791259766,117.55047607421875,-481.9889221191406,0.0,1,1,1,1,1,0,0
21.389141082763672,3.7454755306243896,6.174989223480225,10.919815063476562,10.49412727355957,5.540386199951172,6.144129753112793,11.219483375549316,4.225323677062988,4.714233875274658,7.895956993103027,7.186680316925049,6.468690395355225,5.000667095184326,7.277062892913818,58.610870361328125,117.23638153076172,-482.5146484375,0.0,1,1,1,1,1,0,0
21.880207061767578,4.166929244995117,10.661055564880371,10.676724433898926,9.670321464538574,5.210937976837158,6.113122463226318,10.650296211242676,3.965200185775757,4.563320636749268,6.9539475440979,6.816377639770508,6.354836940765381,5.121199131011963,7.173205852508545,56.811988830566406,119.11727905273438,-482.2690734863281,0.0,1,1,1,1,1,0,0
22.06550407409668,3.665489435195923,14.014945983886719,10.26479721069336,9.293412208557129,5.052130222320557,5.834445953369141,10.375889778137207,3.7186191082000732,4.618664741516113,5.952363014221191,6.529793739318848,7.486238956451416,4.540853023529053,7.218001842498779,57.651710510253906,118.08891296386719,-482.42230224609375,0.0,1,1,1,1,1,0,0
20.120370864868164,4.860153675079346,13.936226844787598,10.486967086791992,8.543723106384277,4.882015705108643,5.5639142990112305,10.033379554748535,3.3994603157043457,4.344354152679443,5.019071578979492,6.126204490661621,8.213606834411621,4.34642219543457,6.709596157073975,72.31703186035156,122.78978729248047,-479.26287841796875,0.0,1,1,1,1,1,0,0
19.608247756958008,5.927178382873535,14.906243324279785,10.669032096862793,8.903806686401367,5.011362075805664,5.619401931762695,10.093575477600098,3.382842779159546,4.503865718841553,5.588669776916504,6.193851947784424,8.348012924194336,4.3953328132629395,6.610535621643066,78.77315521240234,123.18256378173828,-478.14312744140625,0.0,1,1,1,1,1,0,0
20.18799591064453,4.801446914672852,13.779544830322266,10.354348182678223,7.5993804931640625,4.6951069831848145,5.301779270172119,9.072755813598633,3.1468565464019775,4.34796142578125,5.070413112640381,5.797767162322998,8.82148265838623,4.447949409484863,6.6284637451171875,78.7250747680664,125.8285903930664,-477.4615478515625,0.0,1,1,1,1,1,0,0
21.260967254638672,4.217825412750244,13.489469528198242,10.133325576782227,7.200305461883545,4.531434059143066,5.167830944061279,8.185388565063477,3.179786205291748,4.49935245513916,5.00850772857666,5.76787805557251,8.979631423950195,4.248781681060791,6.853386878967285,78.20863342285156,127.14195251464844,-477.19842529296875,0.0,1,1,1,1,1,0,0
21.960620880126953,3.920400619506836,15.690038681030273,9.693061828613281,6.157400131225586,4.066811561584473,4.714663982391357,6.946248531341553,3.030282497406006,3.8839011192321777,4.3881754875183105,5.299983501434326,8.382585525512695,3.8945252895355225,6.561272144317627,78.74908447265625,125.90643310546875,-477.43707275390625,0.0,1,1,1,1,1,0,0
22.291112899780273,3.540449857711792,14.465255737304688,9.332849502563477,5.702509880065918,3.913947582244873,4.687703609466553,6.951887130737305,2.992783784866333,3.943218946456909,4.266509056091309,5.140469074249268,8.730390548706055,3.863424301147461,6.619274616241455,73.98218536376953,125.48412322998047,-478.3099060058594,0.0,1,1,1,1,1,0,0
22.56535530090332,3.5839693546295166,14.827837944030762,9.020737648010254,5.475559711456299,3.8211138248443604,4.507315158843994,6.2580671310424805,2.9838428497314453,3.7579517364501953,3.9612605571746826,4.941539764404297,8.159603118896484,3.7511518001556396,6.503484725952148,73.41030883789062,124.55569458007812,-478.6405944824219,0.0,1,1,1,1,1,0,0
22.39228630065918,3.238858938217163,13.931570053100586,8.706670761108398,5.1666259765625,3.902743101119995,4.407678127288818,6.1330485343933105,2.9659552574157715,3.6102654933929443,4.051904678344727,4.777070999145508,8.206367492675781,3.7457499504089355,6.372428894042969,71.4183120727539,124.85587310791016,-478.8636779785156,0.0,1,1,1,1,1,0,0
